Work_ID,Biodiversity_Richness,Lexical_Richness,Age_Publication,Year_Publication,Literature_Form,Gender,Parenthood,Highest_Education,Biodiversity_Background,Main_Region,Migrating,Main_Residence,genre_satire,genre_historical,genre_social,genre_children,genre_adventure,genre_mystery,genre_crime,genre_sf,genre_romance,genre_fantasy,genre_biography,genre_travellogue
PG14506,17.64,1998.29,41,1913,epic_art_novel,gender_f,NA,university,no_bio_inclination,north_america,1,city,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
PG43025,15.77,1880.67,49,1921,epic_art_novel,gender_f,NA,university,no_bio_inclination,north_america,1,city,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PG49330,15.52,1774.53,45,1917,epic_art_novel,gender_f,NA,university,no_bio_inclination,north_america,1,city,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
PG48990,18.97,1843.84,63,1935,epic_art_novel,gender_f,NA,university,no_bio_inclination,north_america,1,city,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
PG29865,14.11,1732.84,39,1920,epic_art_novel,gender_f,NA,university,no_bio_inclination,north_america,1,city,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PG46458,13.03,1725.86,43,1924,epic_art_novel,gender_f,NA,university,no_bio_inclination,north_america,1,city,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PG32053,16.86,1685.3,39,1920,epic_art_novel,gender_f,NA,university,no_bio_inclination,north_america,1,city,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PG49098,14.86,1695.39,64,1945,epic_art_novel,gender_f,NA,university,no_bio_inclination,north_america,1,city,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PG19057,11.85,1701.77,41,1922,epic_art_novel,gender_f,NA,university,no_bio_inclination,north_america,1,city,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PG6860,12.87,1547.28,37,1918,epic_art_novel,gender_f,NA,university,no_bio_inclination,north_america,1,city,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PG18434,14.06,1529.48,35,1911,epic_art_novel,gender_m,NA,university,no_bio_inclination,north_america,1,city,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PG4954,7.42,1688.53,37,1872,epic_art_novel,gender_m,has_children,university,no_bio_inclination,north_america,1,city,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PG10716,4.46,1737.86,33,1914,lyric_art,gender_m,has_children,university,no_bio_inclination,british_isles,1,city,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PG15472,15.77,1825.42,31,1912,lyric_art,gender_m,has_children,university,no_bio_inclination,british_isles,1,city,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
PG13068,26.04,2655.28,28,1876,epic_art_novel,gender_m,NA,university,no_bio_inclination,british_isles,2,city,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PG32068,6.37,2050.79,31,1955,epic_art_shortstory,gender_m,NA,academic,no_bio_inclination,north_america,1,city,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
PG14381,9.81,2268.08,31,1859,epic_art_novel,gender_m,NA,university,no_bio_inclination,europe,1,city,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PG42096,19.52,1943.95,29,1857,epic_art_novel,gender_m,NA,university,no_bio_inclination,europe,1,city,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
PG20724,11.49,2037.66,39,1867,epic_art_novel,gender_m,NA,university,no_bio_inclination,europe,1,city,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
PG13678,9.4,2288.16,41,1899,nonfiction,gender_m,NA,university,no_bio_inclination,british_isles,1,city,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PG6971,2.62,1986.02,49,1907,nonfiction,gender_m,NA,university,no_bio_inclination,british_isles,1,city,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PG9886,18.91,2236.16,54,1912,nonfiction,gender_m,NA,university,no_bio_inclination,british_isles,1,city,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
PG43586,47.83,1854.58,60,1825,NA,gender_m,NA,NA,no_bio_inclination,other,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PG1987,16.78,1854.1,46,1905,epic_art_novel,gender_m,NA,NA,no_bio_inclination,north_america,1,town,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PG51830,17.37,1763.95,56,1915,epic_art_novel,gender_m,NA,NA,no_bio_inclination,north_america,1,town,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PG51538,18.88,1696.5,56,1915,epic_art_novel,gender_m,NA,NA,no_bio_inclination,north_america,1,town,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PG12791,18.61,1813.64,52,1911,epic_art_novel,gender_m,NA,NA,no_bio_inclination,north_america,1,town,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PG12884,12.9,1915.65,48,1907,epic_art_novel,gender_m,NA,NA,no_bio_inclination,north_america,1,town,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PG12797,20.82,1713.2,44,1903,epic_art_novel,gender_m,NA,NA,no_bio_inclination,north_america,1,town,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PG51608,20.65,1577.57,56,1915,epic_art_novel,gender_m,NA,NA,no_bio_inclination,north_america,1,town,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PG12281,21.36,1859.08,47,1906,epic_art_shortstory,gender_m,NA,NA,no_bio_inclination,north_america,1,town,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PG12919,21.58,1919.96,45,1904,epic_art_novel,gender_m,NA,NA,no_bio_inclination,north_america,1,town,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PG51755,11.77,1544.46,56,1915,epic_art_novel,gender_m,NA,NA,no_bio_inclination,north_america,1,town,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PG14633,5.77,2056.25,26,1900,epic_art_novel,gender_m,NA,NA,no_bio_inclination,north_america,1,city,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PG32153,15.32,2119.39,26,1888,lyric_art,gender_m,NA,school,no_bio_inclination,british_isles,4,town,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PG26797,19.84,2424.66,39,1920,lyric_art,gender_m,NA,university,no_bio_inclination,north_america,1,city,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PG15247,15.14,1825.17,46,1905,epic_art_novel,gender_m,NA,NA,no_bio_inclination,north_america,1,city,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
PG33304,26.99,1781.51,59,1876,epic_art_novel,gender_m,NA,university,no_bio_inclination,british_isles,1,city,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PG38175,18.25,1692.06,70,1887,epic_art_novel,gender_m,NA,university,no_bio_inclination,british_isles,1,city,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PG45654,2.65,2327.55,41,1879,epic_art_novel,gender_m,NA,university,no_bio_inclination,north_america,1,city,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PG2815,7.79,1865.7,42,1880,epic_art_novel,gender_m,NA,university,no_bio_inclination,north_america,1,city,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PG4584,8.61,2345.44,67,1905,epic_art_novel,gender_m,NA,university,no_bio_inclination,north_america,1,city,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PG14409,9.53,1570.02,46,1884,epic_art_novel,gender_m,NA,university,no_bio_inclination,north_america,1,city,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
PG2044,9.93,2129.12,80,1918,nonfiction,gender_m,NA,university,no_bio_inclination,north_america,1,city,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PG15895,11.38,1530.68,27,1872,epic_art_shortstory,gender_f,NA,NA,NA,other,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PG4669,11.29,2000.3,60,1873,NA,gender_m,NA,NA,no_bio_inclination,other,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PG16114,13.14,2084.76,52,1857,epic_art_novel,gender_m,has_children,university,no_bio_inclination,north_america,1,city,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
PG15328,17.08,2070.58,51,1856,epic_art_novel,gender_m,has_children,university,no_bio_inclination,north_america,1,city,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PG15485,7.47,1690.72,53,1859,epic_art_novel,gender_m,has_children,university,no_bio_inclination,north_america,1,city,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PG14615,8.65,1774.98,55,1861,epic_art_novel,gender_m,has_children,university,no_bio_inclination,north_america,1,city,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PG20428,4.43,1619.32,51,1857,epic_art_novel,gender_m,has_children,university,no_bio_inclination,north_america,1,city,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PG22196,6.93,1977.34,43,1914,epic_art_novel,gender_m,has_no_children,university,no_bio_inclination,north_america,1,city,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PG44326,9.98,1986.89,49,1920,epic_art_novel,gender_m,has_no_children,university,no_bio_inclination,north_america,1,city,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
PG44324,15.2,1825.71,37,1908,epic_art_novel,gender_m,has_no_children,university,no_bio_inclination,north_america,1,city,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PG57543,9.69,1871.91,64,1935,epic_art_novel,gender_m,has_no_children,university,no_bio_inclination,north_america,1,city,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PG44325,11.76,2018.16,34,1905,epic_art_novel,gender_m,has_no_children,university,no_bio_inclination,north_america,1,city,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PG10944,15.31,2070.58,51,1922,epic_art_novel,gender_m,has_no_children,university,no_bio_inclination,north_america,1,city,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PG55400,6.6,1993.29,48,1919,epic_art_novel,gender_m,has_no_children,university,no_bio_inclination,north_america,1,city,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PG16447,5.31,1930.73,43,1914,epic_art_novel,gender_m,has_no_children,university,no_bio_inclination,north_america,1,city,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
PG6864,10.49,2003.68,40,1911,epic_art_shortstory,gender_m,has_no_children,university,no_bio_inclination,north_america,1,city,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
PG15431,9.26,1978.3,50,1921,epic_art_novel,gender_m,has_no_children,university,no_bio_inclination,north_america,1,city,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PG44328,12.73,2066.33,46,1917,epic_art_shortstory,gender_m,has_no_children,university,no_bio_inclination,north_america,1,city,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PG36335,11.19,1881.55,41,1912,epic_art_novel,gender_m,has_no_children,university,no_bio_inclination,north_america,1,city,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
PG5009,18.68,1825.76,45,1916,epic_art_novel,gender_m,has_no_children,university,no_bio_inclination,north_america,1,city,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
PG49009,13.46,2307.32,37,1709,NA,gender_m,has_no_children,university,no_bio_inclination,british_isles,1,city,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PG13645,10.34,2224.7,37,1709,NA,gender_m,has_no_children,university,no_bio_inclination,british_isles,1,city,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PG2791,12.4,2028.16,37,1709,epic_art_shortstory,gender_m,has_no_children,university,no_bio_inclination,british_isles,1,city,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PG31592,7.42,1795.74,40,1712,dramatic_art,gender_m,has_no_children,university,no_bio_inclination,british_isles,1,city,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PG10587,34.26,2611.7,37,1709,nonfiction,gender_m,has_no_children,university,no_bio_inclination,british_isles,1,city,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
PG19829,40.86,2601.49,45,1911,epic_art_novel,gender_m,has_no_children,university,no_bio_inclination,north_america,1,city,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PG19813,39.94,2700.73,46,1912,epic_art_novel,gender_m,has_no_children,university,no_bio_inclination,north_america,1,city,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PG13543,26.33,2119.69,37,1903,epic_art_novel,gender_m,has_no_children,university,no_bio_inclination,north_america,1,city,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PG38364,19.19,2184.09,40,1906,nonfiction,gender_m,has_no_children,university,no_bio_inclination,north_america,1,city,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PG11930,16.16,1958.02,34,1900,epic_art_novel,gender_m,has_no_children,university,no_bio_inclination,north_america,1,city,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PG25322,27.94,2159.28,33,1899,epic_art_shortstory,gender_m,has_no_children,university,no_bio_inclination,north_america,1,city,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PG11279,9.94,1969.38,41,1907,epic_art_novel,gender_m,has_no_children,university,no_bio_inclination,north_america,1,city,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PG20185,12.66,2094.39,25,1854,epic_art_shortstory,gender_f,NA,NA,NA,other,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PG36648,4.2,1737.39,31,1847,epic_art_novel,gender_f,NA,NA,no_bio_inclination,british_isles,2,city,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PG12362,2.06,1774.01,26,1842,epic_art_novel,gender_f,NA,NA,no_bio_inclination,british_isles,2,city,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PG12361,2.38,1744.84,26,1842,epic_art_novel,gender_f,NA,NA,no_bio_inclination,british_isles,2,city,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PG12725,5.23,2053.87,26,1842,epic_art_novel,gender_f,NA,NA,no_bio_inclination,british_isles,2,city,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PG18387,6.12,2051.95,26,1842,epic_art_novel,gender_f,NA,NA,no_bio_inclination,british_isles,2,city,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PG56722,7.35,2107.75,26,1842,epic_art_shortstory,gender_f,NA,NA,no_bio_inclination,british_isles,2,city,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PG33867,28.85,1981.45,42,1890,epic_art_novel,gender_m,NA,NA,no_bio_inclination,europe,1,city,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PG1246,23.66,1580.51,31,1920,lyric_art,gender_m,has_children,university,no_bio_inclination,north_america,1,city,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PG6936,17.08,901.37,61,1842,epic_art_novel,gender_f,NA,school,no_bio_inclination,british_isles,1,town,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PG21500,5.22,2366.32,37,1818,nonfiction,gender_f,NA,school,no_bio_inclination,british_isles,1,town,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PG42117,22.36,1761.84,43,1861,epic_art_novel,gender_m,NA,school,no_bio_inclination,europe,3,city,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PG40602,13.52,1841.79,43,1861,epic_art_novel,gender_m,NA,school,no_bio_inclination,europe,3,city,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PG39401,10.25,1680.54,36,1854,epic_art_novel,gender_m,NA,school,no_bio_inclination,europe,3,city,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PG45047,27.09,2258,42,1860,epic_art_novel,gender_m,NA,school,no_bio_inclination,europe,3,city,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PG40219,18.44,1861.36,43,1861,epic_art_novel,gender_m,NA,school,no_bio_inclination,europe,3,city,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
